Theme parameters supported by the functions

ThemeLayout_GetParameter, ThemeLayout_SetParameter


v5


idx   	   retval                           desc                                      value  defValue  minValue  maxValue
215   LayoutB-mcpNormalShowSecFx         Layout B - mcpNormalShowSecFx                   1         1         0         1
216   LayoutB-mcpNormalShowEnv           Layout B - mcpNormalShowEnv                     1         1         0         1
217   LayoutB-mcpNormalShowPhase         Layout B - mcpNormalShowPhase                   1         1         0         1
218   LayoutB-mcpLabelSize               Layout B - MCP Label Font Size                  3         3         1         5
219   LayoutB-mcpInterShowSecIn          Layout B - mcpInterShowSecIn                  350       350         0       500
220   LayoutB-mcpInterShowSecButtons     Layout B - mcpInterShowSecButtons             380       380         0       500
221   LayoutB-mcpInterShowSecPan         Layout B - mcpInterShowSecPan                 300       300         0       500
222   LayoutB-mcpStripLabelHeight        Layout B - Label Height                        88        88         0       300
223   LayoutB-mcpStripInputHeight        Layout B - Record Input Height                 70        70        20       140
224   LayoutB-mcpStripMeterHeight        Layout B - Meter Height                        20        20        20       300
225   LayoutB-mcpStripVolumeHeight       Layout B - Volume Height                       80        80        60       300
226   LayoutB-mcpStripHideExtmixer       Layout B - Hide non-sidebar ExtMixer            1         1         0         1
227   LayoutC-verboseMcp                 Layout C - Verbose MCP                          1         1         0         1
228   LayoutC-mcpMeterReadout            Layout C - mcpMeterReadout                      1         1         0         1
229   LayoutC-mcpWidth                   Layout C - Mixer Panel Width                   88        88        28       140
230   LayoutC-mcpWidthSel                Layout C - Selected Mixer Panel Width         100       100        28       140
231   LayoutC-mcpWidthRecarm             Layout C - Armed Mixer Panel Width            100       100        28       140
232   LayoutC-mcpSidebar                 Layout C - Mixer Sidebar                        1         1         0         1
233   LayoutC-mcpSidebarSel              Layout C - Selected Mixer Sidebar               1         1         0         1
234   LayoutC-mcpSidebarRecarm           Layout C - Armed Mixer Sidebar                  1         1         0         1
235   LayoutC-sidebarWidth               Layout C - Sidebar Width                       88        88        34       300
236   LayoutC-mcpNchanGrow               Layout C - Mixer nChan Grow                     2         2         0        20
237   LayoutC-mcpNchanGrowSel            Layout C - Selected Mixer nChan Grow            2         2         0        20
238   LayoutC-mcpNchanGrowRecarm         Layout C - Armed Mixer nChan Grow               2         2         0        20
239   LayoutC-mcpMeterVals               Layout C - Mixer Meter Values                   1         1         0         1
240   LayoutC-mcpMeterValsSel            Layout C - Selected Mixer Meter Values          1         1         0         1
